seqnames	organism
NC_003084.1	Culex_nigripalpus_nucleopolyhedrovirus
NC_003214.2	Sulfolobus_islandicus_filamentous_virus
NC_002515.1	Mycoplasma_virus_P1
NC_003220.1	Planaria_asexual_strain-specific_virus-like_element_type_1
NC_003219.1	Planaria_asexual_strain-specific_virus-like_element_type_1
NC_003157.5	Temperate_phage_phiNIH1.1
NC_003357.1	Soybean_crinkle_leaf_virus
NC_003382.1	Citrus_yellow_mosaic_virus
NC_009333.1	Human_gammaherpesvirus_8
NC_003460.1	Propionibacterium_phage_B5
NC_003556.1	Eupatorium_yellow_vein_mosaic_virus
NC_003664.1	Tomato_chlorotic_mottle_virus
NC_003665.1	Tomato_chlorotic_mottle_virus
NC_003803.1	South_African_cassava_mosaic_virus
NC_003804.1	South_African_cassava_mosaic_virus
NC_003830.1	Chino_del_tomate_virus
NC_003831.1	Chino_del_tomate_virus
NC_003866.1	Cabbage_leaf_curl_virus
NC_003887.1	Cabbage_leaf_curl_virus
NC_003896.1	Tomato_leaf_curl_virus
NC_001338.1	Sulfolobus_spindle-shaped_virus_1
NC_001510.1	Minute_virus_of_mice
NC_001623.1	Autographa_californica_nucleopolyhedrovirus
NC_001693.1	Human_papillomavirus_type_60
NC_001270.2	Spiroplasma_phage_SVTS2
NC_001931.1	Bean_dwarf_mosaic_virus
NC_001930.1	Bean_dwarf_mosaic_virus
NC_001993.1	Melanoplus_sanguinipes_entomopoxvirus
NC_000882.1	Pepper_leaf_curl_virus
NC_002188.1	Fowlpox_virus
NC_001648.1	Cassava_vein_mosaic_virus
NC_001401.2	Adeno-associated_virus_-_2
NC_001934.1	Potato_yellow_mosaic_virus
NC_001935.1	Potato_yellow_mosaic_virus
NC_001478.1	Digitaria_streak_virus
NC_001523.1	Deltapapillomavirus_2
NC_001662.1	Aleutian_mink_disease_virus
NC_001828.1	Tomato_mottle_Taino_virus
NC_001917.1	Tomato_mottle_Taino_virus
NC_001909.1	Lactococcus_virus_bIL170
NC_000936.1	Periplaneta_fuliginosa_densovirus
NC_002510.1	Cotton_leaf_curl_Gezira_virus
NC_002531.1	Alcelaphine_gammaherpesvirus_1_(wildebeest
NC_002577.1	Gallid_alphaherpesvirus_3
NC_002643.1	Bdellovibrio_phage_phiMH2K
NC_002666.1	Lactococcus_phage_bIL285
NC_002730.1	Salmonella_virus_HK620
NC_002817.1	Tobacco_leaf_curl_Zimbabwe_virus
NC_003031.1	Sugarcane_bacilliform_IM_virus
NC_003083.1	Epiphyas_postvittana_nucleopolyhedrovirus
NC_002703.1	Lactococcus_phage_Tuc2009
NC_002486.1	Staphylococcus_prophage_phiPV83
NC_002670.1	Lactococcus_phage_bIL311
NC_003313.1	Vibrio_virus_K139
NC_003380.1	Rice_yellow_mottle_virus_satellite
NC_003391.1	Camelpox_virus
NC_003444.1	Enterobacteria_phage_SfV
NC_003524.1	Clostridium_phage_phi3626
NC_003540.1	Chrysanthemum_chlorotic_mottle_viroid
NC_003663.2	Cowpox_virus
NC_003793.1	Spiroplasma_phage_C74
NC_008058.1	Tomato_golden_mottle_virus
NC_008057.1	Tomato_golden_mottle_virus
NC_003865.1	Squash_yellow_mild_mottle_virus
NC_003860.1	Squash_yellow_mild_mottle_virus
NC_003891.1	Tomato_leaf_curl_Bangalore_virus
NC_003906.1	Velvet_tobacco_mottle_virus_Satellite_RNA
NC_002048.1	Potato_yellow_mosaic_Panama_virus
NC_002049.1	Potato_yellow_mosaic_Panama_virus
NC_001493.2	Ictalurid_herpesvirus_1_(Channel_catfish
NC_001605.1	Iotapapillomavirus_1
NC_001690.1	Human_papillomavirus_type_48
NC_001839.2	Petunia_vein_clearing_virus
NC_001899.1	Diatraea_saccharalis_densovirus
NC_001987.1	Ateline_gammaherpesvirus_3
NC_000871.1	Streptococcus_virus_Sfi19
NC_002185.1	Streptococcus_virus_7201
NC_001718.1	Porcine_parvovirus
NC_001359.1	Pepper_huasteco_yellow_vein_virus
NC_001369.1	Pepper_huasteco_yellow_vein_virus
NC_001741.1	Chlamydia_virus_Chp1
NC_001466.1	Chloris_striate_mosaic_virus
NC_001507.1	Tomato_golden_mosaic_virus
NC_001508.1	Tomato_golden_mosaic_virus
NC_001647.1	Panicum_streak_virus
NC_001824.1	Lymphocystis_disease_virus_1
NC_001901.1	Escherichia_virus_N15
NC_000883.2	Human_parvovirus_B19
NC_002363.1	Vibrio_phage_VfO4K68
NC_001701.1	Goose_parvovirus
NC_002557.1	Trichoplusia_ni_cypovirus_15
NC_002565.1	Trichoplusia_ni_cypovirus_15
NC_002566.1	Trichoplusia_ni_cypovirus_15
NC_002558.1	Trichoplusia_ni_cypovirus_15
NC_002559.1	Trichoplusia_ni_cypovirus_15
NC_002567.1	Trichoplusia_ni_cypovirus_15
NC_002560.1	Trichoplusia_ni_cypovirus_15
NC_002561.1	Trichoplusia_ni_cypovirus_15
NC_002562.1	Trichoplusia_ni_cypovirus_15
NC_002563.1	Trichoplusia_ni_cypovirus_15
NC_002564.1	Trichoplusia_ni_cypovirus_15
NC_002641.1	Meleagrid_alphaherpesvirus_1_(Turkey
NC_002665.1	Bovine_gammaherpesvirus_4
NC_002687.1	Ectocarpus_siliculosus_virus_1
NC_002816.1	Cydia_pomonella_granulovirus
NC_003027.1	Lumpy_skin_disease_virus_NI-2490
NC_003059.1	Porcine_endogenous_retrovirus_E
NC_003199.1	Cotton_leaf_curl_Multan_virus
NC_002169.1	Spodoptera_exigua_multiple_nucleopolyhedrovirus
NC_003102.1	Spodoptera_litura_nucleopolyhedrovirus
NC_003291.2	Listeria_phage_PSA
NC_003345.2	Halorubrum_phage_HF2
NC_003379.1	Miscanthus_streak_virus_-_[91]
NC_003389.1	Swinepox_virus
NC_003438.1	Spiroplasma_virus_SpV4
NC_003504.1	Bean_calico_mosaic_virus
NC_003505.1	Bean_calico_mosaic_virus
NC_003533.1	Cereal_yellow_dwarf_virus-RPV_satellite_RNA
NC_003648.1	Milk_vetch_dwarf_virus
NC_003642.1	Milk_vetch_dwarf_virus
NC_003643.1	Milk_vetch_dwarf_virus
NC_003644.1	Milk_vetch_dwarf_virus
NC_003645.1	Milk_vetch_dwarf_virus
NC_003646.1	Milk_vetch_dwarf_virus
NC_003641.1	Milk_vetch_dwarf_virus
NC_023626.1	Milk_vetch_dwarf_virus
NC_003744.1	Sugarcane_streak_virus
NC_003822.1	Tobacco_yellow_dwarf_virus
NC_003856.1	Dicliptera_yellow_mottle_virus
NC_003857.1	Dicliptera_yellow_mottle_virus
NC_003898.1	Tomato_leaf_curl_Taiwan_virus
NC_004003.1	Goatpox_virus_Pellor
NC_003897.1	Tomato_leaf_curl_Karnataka_virus
NC_004002.1	Sheeppox_virus
NC_001439.1	Bean_golden_yellow_mosaic_virus
NC_001438.1	Bean_golden_yellow_mosaic_virus
NC_001416.1	Escherichia_virus_Lambda
NC_004092.1	Hollyhock_leaf_crumple_virus_satellite_DNA
NC_004107.1	Woodchuck_hepatitis_virus
NC_004165.1	Bacillus_virus_B103
NC_004286.1	Galleria_mellonella_densovirus
NC_004302.1	Lactococcus_phage_r1t
NC_004450.1	Taro_bacilliform_virus
NC_000867.1	Pseudoalteromonas_virus_PM2
NC_004583.1	Cotton_leaf_curl_Kokhran_virus
NC_004614.1	Tomato_leaf_curl_Bangladesh_virus
NC_004627.1	Ageratum_yellow_vein_Taiwan_virus
NC_010294.1	Rhynchosia_golden_mosaic_virus
NC_010293.1	Rhynchosia_golden_mosaic_virus
NC_004657.1	Sida_golden_mosaic_Costa_Rica_virus
NC_004658.1	Sida_golden_mosaic_Costa_Rica_virus
NC_004673.1	Okra_yellow_vein_mosaic_virus
NC_004681.1	Mycobacterium_virus_CJW1
NC_004689.1	Mycobacterium_phage_Barnyard
NC_004736.1	Vibrio_phage_VGJ
NC_004775.2	Salmonella_phage_epsilon15
NC_002628.3	Methanothermobacter_phage_psiM100
NC_005032.1	Tomato_leaf_curl_Philippines_virus
NC_005066.1	Escherichia_phage_RB49
NC_005091.2	Burkholderia_phage_BcepNazgul
NC_005264.1	Psittacid_alphaherpesvirus_1
NC_001420.2	Escherichia_phage_G4
NC_004466.2	Pseudomonas_virus_PaP3
NC_001619.1	Lambdapapillomavirus_2
NC_003309.1	Burkholderia_virus_phiE125
NC_005262.3	Burkholderia_virus_Bcep22
NC_004686.2	Mycobacterium_virus_Che9d
NC_005330.1	Sida_micrantha_mosaic_virus
NC_005331.1	Sida_micrantha_mosaic_virus
NC_005347.1	Pepper_yellow_vein_Mali_virus
NC_005356.1	Staphylococcus_virus_77
NC_005635.1	Horsegram_yellow_mosaic_virus
NC_005636.1	Horsegram_yellow_mosaic_virus
NC_005812.1	Tomato_yellow_leaf_curl_Kanchanaburi_virus
NC_005811.1	Tomato_yellow_leaf_curl_Kanchanaburi_virus
NC_005832.1	Ambystoma_tigrinum_virus
NC_004048.1	Satellites_of_Trichomonas_vaginalis_T1_virus
NC_004068.1	Etapapillomavirus_1
NC_004093.1	Okra_leaf_curl_betasatellite
NC_004147.1	Papaya_leaf_curl_virus
NC_004167.1	Bacillus_phage_phi105
NC_004288.1	Casphalia_extranea_densovirus
NC_004303.1	Streptococcus_virus_O1205
NC_004348.1	Salmonella_virus_ST64T
NC_004456.1	Vibrio_phage_VHML
NC_004558.1	Tomato_leaf_curl_Gujarat_virus
NC_004559.1	Tomato_leaf_curl_Gujarat_virus
NC_004607.1	Cotton_leaf_curl_Multan_virus
NC_004615.1	Staphylococcus_virus_11
NC_004628.1	Chilli_leaf_curl_virus
NC_004637.1	Sida_mottle_virus
NC_004647.1	Tomato_leaf_curl_Sri_Lanka_virus
NC_004659.1	Sida_golden_mosaic_Honduras_virus
NC_004660.1	Sida_golden_mosaic_Honduras_virus
NC_004675.1	Tomato_curly_stunt_virus
NC_004683.1	Mycobacterium_virus_Che9c
NC_004682.2	Mycobacterium_virus_Bxz2
NC_004745.1	Yersinia_virus_L413C
NC_004800.1	Goose_hemorrhagic_polyomavirus
NC_004824.1	Luffa_yellow_mosaic_virus
NC_004825.1	Luffa_yellow_mosaic_virus
NC_004927.2	Halovirus_HF1
NC_005038.1	Adoxophyes_orana_granulovirus
NC_005068.1	Cryptophlebia_leucotreta_granulovirus
NC_005131.2	Ralstonia_phage_p12J
NC_005258.1	Bacillus_phage_Bam35c
NC_004305.1	Lactobacillus_phage_phig1e
NC_001729.1	Adeno-associated_virus_-_3
NC_005282.1	Salmonella_phage_FelixO1
NC_001691.1	Human_papillomavirus_type_50
NC_004066.1	Lactococcus_phage_ul36
NC_003298.1	Enterobacteria_phage_T3
NC_005309.1	Canarypox_virus
NC_005348.1	Tomato_leaf_curl_Mali_virus
NC_005357.1	Bordetella_virus_BPP1
NC_001868.1	Sugarcane_streak_Egypt_virus_-_[Giza]
NC_005850.1	Tomato_mosaic_leaf_curl_virus
NC_005851.1	Tomato_mosaic_leaf_curl_virus
NC_005882.1	Burkholderia_virus_BcepMu
NC_003973.1	Psittacus_erithacus_papillomavirus_1
NC_004042.1	Bean_golden_mosaic_virus
NC_004043.1	Bean_golden_mosaic_virus
NC_001900.1	Mycobacterium_virus_D29
NC_004084.1	Natrialba_phage_PhiCh1
NC_004105.1	Ectromelia_virus
NC_004156.2	Helicoverpa_zea_nudivirus_2
NC_004195.1	Epsilonpapillomavirus_1
NC_004295.1	Human_erythrovirus_V9
NC_004313.1	Salmonella_phage_ST64B
NC_004540.1	Kalanchoe_top-spotting_virus
NC_004582.1	Cotton_leaf_curl_Alabad_virus
NC_004613.1	Tomato_leaf_curl_Laos_virus
NC_004617.1	Staphylococcus_virus_13
NC_004634.1	Malvastrum_yellow_vein_virus
NC_004640.1	Sweet_potato_leaf_curl_Georgia_virus
NC_004654.1	Tobacco_leaf_curl_Japan_virus
NC_004665.1	Pseudomonad_phage_gh-1
NC_004679.1	Staphylococcus_phage_P68
NC_004688.1	Mycobacterium_virus_Omega
NC_004764.2	Budgerigar_fledgling_disease_virus_-_1
NC_004814.1	Streptococcus_virus_C1
NC_004902.1	Xanthomonas_virus_Xp10
NC_005031.1	Tomato_leaf_curl_Java_virus
NC_004684.1	Mycobacterium_phage_Rosebush
NC_004687.1	Mycobacterium_phage_Bxz1
NC_005261.3	Bovine_alphaherpesvirus_5
NC_005265.1	Sulfolobus_spindle-shaped_virus_2
NC_005135.1	Aeromonas_virus_44RR2
NC_001396.1	Xanthomonas_virus_Cf1c
NC_005178.1	Pseudomonas_virus_D3112
NC_002668.1	Lactococcus_phage_bIL309
NC_005320.1	Tomato_leaf_curl_China_virus
NC_005341.1	Mythimna_loreyi_densovirus
NC_005355.1	Lactobacillus_prophage_Lj965
NC_005361.1	Sulfolobus_virus_Kamchatka_1
NC_005830.1	Acidianus_filamentous_virus_1
NC_005843.1	Tomato_chino_La_Paz_virus
NC_005855.1	Tomato_leaf_curl_Sudan_virus
NC_005885.1	Actinoplanes_phage_phiAsp2
NC_004037.2	Ovine_adenovirus_7
NC_004062.1	Phthorimaea_operculella_granulovirus
NC_004071.1	Hollyhock_leaf_crumple_virus
NC_004101.1	Pepper_golden_mosaic_virus
NC_004096.1	Pepper_golden_mosaic_virus
NC_004153.1	Tomato_leaf_curl_Vietnam_virus
NC_004192.1	Pepper_leaf_curl_Bangladesh_virus
NC_004289.1	Planococcus_citri_densovirus
NC_004306.1	Vibrio_virus_fs1
NC_003315.1	Haemophilus_virus_HP2
NC_004462.2	Thermus_virus_IN93
NC_004569.1	Tomato_yellow_leaf_curl_Malaga_virus
NC_004611.1	Tomato_leaf_curl_New_Delhi_virus
NC_004612.1	Tomato_leaf_curl_New_Delhi_virus
NC_004616.1	Staphylococcus_virus_phi12
NC_004629.1	Pseudomonas_virus_phiKZ
NC_004638.1	Potato_yellow_mosaic_Trinidad_virus
NC_004644.1	Potato_yellow_mosaic_Trinidad_virus
NC_004648.1	Tomato_leaf_curl_Malaysia_virus
NC_004661.1	Sida_yellow_vein_virus
NC_004662.1	Sida_yellow_vein_virus
NC_004678.1	Staphylococcus_virus_44AHJD
NC_004685.1	Mycobacterium_virus_Corndog
NC_004664.2	Streptomyces_virus_phiBT1
NC_004746.1	Lactococcus_phage_P335_sensu_lato
NC_004813.1	Enterobacteria_phage_BP-4795
NC_004831.2	Salmonella_virus_SP6
NC_004996.1	Streptococcus_phage_SM1
NC_005040.1	Myzus_persicae_densovirus
NC_004755.1	Sugarcane_streak_Reunion_virus
NC_002519.1	Roseobacter_virus_SIO1
NC_005260.1	Aeromonas_virus_Aeh1
NC_003907.2	Vibrio_virus_VpV262
NC_005041.2	Blattella_germanica_densovirus_1
NC_004367.1	Callitrichine_gammaherpesvirus_3_(Marmoset
NC_001731.1	Molluscum_contagiosum_virus_subtype_1
NC_004777.1	Yersinia_phage_phiA1122
NC_003327.2	Vibrio_phage_VSK
NC_005319.1	Euphorbia_leaf_curl_virus
NC_005340.1	Salmonella_virus_PsP3
NC_005354.1	Lactobacillus_prophage_Lj928
NC_005360.1	Sulfolobus_virus_Ragged_Hills
NC_005822.1	Lactococcus_phage_phiLC3
NC_001412.1	Beet_curly_top_virus
NC_005852.2	Tomato_yellow_margin_leaf_curl_virus
NC_005853.2	Tomato_yellow_margin_leaf_curl_virus
NC_005884.1	Pseudomonas_phage_PaP2
NC_005845.1	Squash_leaf_curl_Philippines_virus
NC_005846.1	Squash_leaf_curl_Philippines_virus
NC_005872.1	Pyrobaculum_spherical_virus
NC_005887.1	Burkholderia_virus_BcepC6B
NC_005905.1	Neodiprion_sertifer_nucleopolyhedrovirus
NC_005964.2	Mycoplasma_phage_phiMFV1
NC_002321.1	Staphylococcus_phage_PVL
NC_001132.2	Myxoma_virus
NC_004641.1	Tobacco_leaf_curl_Kochi_virus
NC_003521.1	Panine_betaherpesvirus_2_(Chimpanzee
NC_004690.1	Adoxophyes_honmai_nucleopolyhedrovirus
NC_004091.1	Stachytarpheta_leaf_curl_virus
NC_005083.2	Vibrio_phage_KVP40
NC_004735.1	Rhodothermus_phage_RM378
NC_006151.1	Suid_alphaherpesvirus_1
NC_002743.1	Tomato_leaf_curl_deltasatellite
NC_004033.1	Turnip_crinkle_virus_satellite_RNA
NC_002361.1	Columbid_circovirus
NC_005048.1	Chili_leaf_curl_betasatellite
NC_003405.1	Bhendi_yellow_vein_betasatellite
NC_004904.1	Tomato_begomovirus_satellite_DNA_beta
NC_001944.1	Beak_and_feather_disease_virus
NC_001650.2	Equid_gammaherpesvirus_2_(Equine_herpesvirus
NC_001663.2	Mesocricetus_auratus_polyomavirus_1
NC_001491.2	Equid_alphaherpesvirus_1_(Equine_herpesvirus
NC_005337.1	Bovine_papular_stomatitis_virus
NC_005879.1	Vibrio_phage_VP2
NC_006148.1	Snake_adeno-associated_virus
NC_005345.2	Streptomyces_phage_VWB
NC_004812.1	Macacine_alphaherpesvirus_1_(monkey_B
NC_005856.1	Escherichia_virus_P1
NC_002513.1	Bovine_adenovirus_2
NC_001876.1	Bovine_adenovirus_3
NC_000942.1	Murine_mastadenovirus_A
NC_000899.1	Fowl_aviadenovirus_D
NC_001574.1	Cacao_swollen_shoot_virus
NC_005874.1	Zinnia_leaf_curl_virus-associated_DNA_beta
NC_006548.1	Pseudomonas_phage_B3
NC_006555.1	Dendrolimus_punctatus_densovirus
NC_006564.1	Canis_familiaris_papillomavirus_2
NC_006633.1	Cotesia_congregata_bracovirus
NC_006634.1	Cotesia_congregata_bracovirus
NC_006635.1	Cotesia_congregata_bracovirus
NC_006636.1	Cotesia_congregata_bracovirus
NC_006637.1	Cotesia_congregata_bracovirus
NC_006638.1	Cotesia_congregata_bracovirus
NC_006639.1	Cotesia_congregata_bracovirus
NC_006640.1	Cotesia_congregata_bracovirus
NC_006641.1	Cotesia_congregata_bracovirus
NC_006642.1	Cotesia_congregata_bracovirus
NC_006643.1	Cotesia_congregata_bracovirus
NC_006644.1	Cotesia_congregata_bracovirus
NC_006645.1	Cotesia_congregata_bracovirus
NC_006646.1	Cotesia_congregata_bracovirus
NC_006647.1	Cotesia_congregata_bracovirus
NC_006648.1	Cotesia_congregata_bracovirus
NC_006649.1	Cotesia_congregata_bracovirus
NC_006650.1	Cotesia_congregata_bracovirus
NC_006651.1	Cotesia_congregata_bracovirus
NC_006652.1	Cotesia_congregata_bracovirus
NC_006653.1	Cotesia_congregata_bracovirus
NC_006654.1	Cotesia_congregata_bracovirus
NC_006655.1	Cotesia_congregata_bracovirus
NC_006656.1	Cotesia_congregata_bracovirus
NC_006657.1	Cotesia_congregata_bracovirus
NC_006658.1	Cotesia_congregata_bracovirus
NC_006659.1	Cotesia_congregata_bracovirus
NC_006660.1	Cotesia_congregata_bracovirus
NC_006661.1	Cotesia_congregata_bracovirus
NC_006662.1	Cotesia_congregata_bracovirus
NC_005946.1	Frog_virus_3
NC_005891.1	Vibrio_phage_VP5
NC_005954.1	Okra_leaf_curl_alphasatellite
NC_003085.1	Myxococcus_phage_Mx8
NC_001942.1	Mycoplasma_phage_MAV1
NC_004099.1	Macroptilium_yellow_mosaic_Florida_virus
NC_004100.1	Macroptilium_yellow_mosaic_Florida_virus
NC_005950.1	Snow_goose_hepatitis_B_virus
NC_004645.1	Squash_mild_leaf_curl_virus
NC_004646.1	Squash_mild_leaf_curl_virus
NC_005342.2	Burkholderia_virus_Bcep43
NC_003278.1	Pseudomonas_virus_phiCTX
NC_002512.2	Rat_cytomegalovirus_Maastricht_(Rat
NC_003401.1	Macacine_gammaherpesvirus_5_(Rhesus
NC_003559.1	Faba_bean_necrotic_yellows_virus
NC_003560.1	Faba_bean_necrotic_yellows_virus
NC_003561.1	Faba_bean_necrotic_yellows_virus
NC_003562.1	Faba_bean_necrotic_yellows_virus
NC_003563.1	Faba_bean_necrotic_yellows_virus
NC_003564.1	Faba_bean_necrotic_yellows_virus
NC_003566.1	Faba_bean_necrotic_yellows_virus
NC_024457.1	Faba_bean_necrotic_yellows_virus
NC_003854.1	Pea_enation_mosaic_virus_satellite_RNA
NC_002190.2	Decapod_penstyldensovirus_1
NC_003403.1	Ageratum_yellow_vein_betasatellite
NC_004706.1	Papaya_leaf_curl_betasatellite
NC_005497.1	Tomato_leaf_curl_Java_virus-[Ageratum]_satellite_DNA
NC_004828.1	Avian_adeno-associated_virus_ATCC_VR-865
NC_001604.1	Escherichia_phage_T7
NC_005336.1	Orf_virus
NC_006150.1	Macacine_betaherpesvirus_3_(Rhesus
NC_005902.1	Lymphocystis_disease_virus_-_isolate_China
NC_005886.2	Burkholderia_phage_BcepB1A
NC_000902.1	Enterobacteria_phage_VT2-Sakai
NC_003828.1	Tomato_yellow_leaf_curl_Sardinia_virus
NC_002501.1	Frog_adenovirus_1
NC_006384.1	Ageratum_leaf_curl_virus_-_[G52]
NC_005833.1	Escherichia_virus_T1
NC_002484.2	Pseudomonas_virus_D3
NC_006451.1	Turnip_crinkle_virus_virulent_satellite_RNA_C
NC_004087.1	Sulfolobus_islandicus_rod-shaped_virus_1
NC_001405.1	Human_mastadenovirus_C
NC_001720.1	Fowl_aviadenovirus_A
NC_004655.1	East_African_cassava_mosaic_Zanzibar_virus
NC_004656.2	East_African_cassava_mosaic_Zanzibar_virus
NC_005844.1	Papaya_leaf_curl_Guandong_virus
NC_004580.1	Cotton_leaf_crumple_virus
NC_004581.1	Cotton_leaf_crumple_virus
NC_006563.1	Trichechus_manatus_papillomavirus_1
NC_003287.2	Escherichia_virus_M13
NC_001983.1	Mungbean_yellow_mosaic_virus
NC_001984.1	Mungbean_yellow_mosaic_virus
NC_006273.2	Human_betaherpesvirus_5
NC_006358.1	Corchorus_yellow_vein_virus_-_[Hoa_Binh]
NC_006359.1	Corchorus_yellow_vein_virus_-_[Hoa_Binh]
NC_006632.1	Malvastrum_yellow_vein_Yunnan_virus_satellite_DNA_beta
NC_005888.1	Ross's_goose_hepatitis_B_virus
NC_005948.1	Vibrio_virus_Vf33
NC_001634.1	Peanut_chlorotic_streak_virus
NC_004036.1	Mirabilis_mosaic_virus
NC_002667.1	Lactococcus_phage_bIL286
NC_005892.1	Sulfolobus_turreted_icosahedral_virus_1
NC_004333.2	Burkholderia_virus_Bcep781
NC_005263.2	Burkholderia_virus_Bcep1
NC_001350.1	Saimiriine_gammaherpesvirus_2_(Herpesvirus
NC_004765.1	Felis_domesticus_papillomavirus_type_1
NC_006147.2	Muscovy_duck_parvovirus
NC_002526.1	Bovine_ephemeral_fever_virus
NC_003200.1	Cotton_leaf_curl_betasatellite
NC_005049.1	Tobacco_leaf_curl_disease_associated_sequence
NC_004546.1	Tobacco_curly_shoot_betasatellite
NC_004903.1	Tomato_yellow_leaf_curl_Thailand_betasatellite
NC_006260.1	Adeno-associated_virus_-_7
NC_001826.2	Murid_gammaherpesvirus_4_(Murine_herpesvirus
NC_001664.4	Human_betaherpesvirus_6A
NC_005179.1	Yaba_monkey_tumor_virus
NC_004324.3	Cestrum_yellow_leaf_curling_virus
NC_005842.1	Tomato_leaf_curl_Iran_virus
NC_002371.2	Salmonella_virus_P22
NC_004642.1	Tomato_severe_leaf_curl_virus
NC_002685.2	Bovine_atadenovirus_D
NC_004090.1	Ageratum_yellow_vein_China_virus_-_[Hn2]
NC_003498.1	Carnation_etched_ring_virus
NC_005344.1	Shigella_virus_Sf6
NC_003855.1	Peanut_stunt_virus_satellite_RNA
NC_003554.1	Figwort_mosaic_virus
NC_001734.1	Canine_mastadenovirus_A
